12,白牙剑,传奇刺客卡尼·阿什所铸造的武器，来去无踪，见血封喉。也许这柄剑并不应该留在他手上...
24,Battering Lamp,Every pink Wabbit in the world knows that these lamps last ten times longer than your average banana. 
1718,苹朵木,虽然表面颗粒明显，苹朵木仍然深受雕刻家喜爱。他们能在一夜之间将这块无用的东西变成桌椅。太棒了！
1719,桦木,能为苹朵派增添原汁原味的大自然芬芳，面点师都爱它。
1723,白蜡木,白蜡木有着久经考验的抗衰老的功能。同时也有利尿作用。
1732,榛木,闻起来和榛子一样，很奇怪。榛木甚至和榛子有相同的纹理。唯一的不同是你咬榛子的时候不会掉牙齿。
1734,苹朵,一天一个苹朵，医生...烦不烦啊老是这句话！
1746,榛子,阿玛克纳国民十分喜欢榛子。他们甚至被称为果壳脑袋。然而他们不以为耻，反以为荣。
1750,大麦粒,你永远数不清大麦粒到底能做成几样东西：面包、糖浆、面糊...实在太多了！
1752,小麦粒,小麦是随处可见的作物，同时也是各式食谱中的必备原料。正因为如此，反而搞不懂小麦的使用方法，最后只好往路过的无辜路人脸上扔。
1783,金雀花浆果,不要被诱人的外表欺骗了...实际上难吃极了！
1786,向日葵种子,向日葵种子有益健康，让人心情愉快、容光焕发。
1832,荨麻叶,切碎后卤制或者煲汤，都十分美味。但是要小心了，说不定就是你的最后晚餐。
1846,铁矿,整天敲碎石是个不错的锻炼方法，还能帮助养成健壮的体魄。
1848,锰结晶,锰并不是日常需要的矿物，但是却十分有用。
1851,铜矿,铜矿导热性极佳。当你和漂亮姑娘在一起的时候，可以准确测量你的体温。
1853,雾铅矿,稀有的矿石。挖掘含有铅矿的土壤，充分洗净，然后整块融化。接下来你可以取消所有的约会了...
1856,银矿,闪光的不一定是黄金，也有可能是白银。
1863,红宝石,红宝石是工匠的梦想。
1886,南瓜种子,南瓜种子是很可怕的！只吃几颗就能让你的头肿得和南瓜一样大！
1889,菊芋根,菊芋能够发电是众所周知的特性。如果你刚从沉睡中醒来，你就恰好需要一根这个...和一名植物术士。
1902,南瓜,南瓜是南瓜家族里一种可以食用的植物，通常做成南瓜汤或者南瓜泥。当然你也可以戴在头上...
2021,绵球护符,小心了，女士们！它会撕咬一切东西！花边围巾、羊毛衫甚至披肩都难逃其口。说不定也只是个传说？
2022,包子·光年的戒指,这个戒指曾属于古老世界的救世主包子·光年。他总是提起一家叫做『超越极限』的小酒馆。
2023,绵球皮靴,穿上它们，再也不用担心会踩到绵球便便。因为两者闻起来都一样。
2024,绵球披风,由绵球的残羹剩饭制成。是的，你没看错。绵球又不会刷盘子。
2025,绵球腰带,又松又软的腰带...厚实的内衬，让冒险者相信自己已经装备精良。
2026,绵球头盔,有人说这顶头盔能预知恋爱运势。
2027,绵球锤,不仅仅会砸东西，还会到处乱咬。如果你相信上述描述的话，你得一直盯着...
2035,豆芙护符,挂在腰间才能显示出它的真正用处。
2036,豆芙戒指,豆芙妮用的高档货。你是豆芙妮吗？
2037,豆芙剑,传说这柄剑是由一只豆芙打造的！它一定像你一样好骗...
2038,豆芙披风,轻量、实用，淡淡的黄色...由豆芙羽毛制成，大师级手笔！
2039,豆芙腰带,轻若无物。好像你自己也变轻了...
2040,豆芙头盔,现在它属于你了。你居然没有挖掉豆芙的眼睛，真糟糕，你也太无耻了...
2041,豆芙靴,在春天的田原里发足狂奔，像个发情的豆芙一样横冲直撞！没什么好害羞的。
2044,细枝护肩,由100%可回收原料制成。护肩不能保护你，但是至少你问心无愧。
2048,武士头盔,哇呀呀...
2057,绵球盾,轻若无物，经常让人忘了它是块盾牌。当然，这也有可能是因为它并不提供多少防护...
2058,绵团魔杖,牧羊杖的升级版。这把魔杖提供了更多驱使绵球群攻击敌人的方法。
